plant	t	id	layer	m.vol	n.vol	m.x	m.y	m.z	expr	d2t	circ	age
13	56	812	L3+	101.946892458	0.10313325	48.7933113559	49.0609973344	25.7606400871	19.237669	3.2051973850704	2	0
13	56	813	L3+	289.7180969	0.5401476	52.9392511648	52.5777125037	26.0600963656	49.112404	2.38639755254484	2	20
13	56	819	L3+	134.561805361	0.17813481	53.6170551023	41.9819765188	25.5285384378	26.008585	2.85674729950676	2	0
13	56	820	L3+	178.701816897	0.18363461	53.5364660237	45.593987443	24.9473436227	19.516827	2.4221807653567	2	0
13	56	842	L2	266.312100582	0.27669301	73.8800423796	41.6654316691	26.0347168955	22.8359975	3.31494300700711	3	28
13	56	855	L3+	237.234248822	0.697646	58.0264554943	49.7489733056	26.9556184812	83.87959	1.48434438218313	2	56
13	56	873	L2	284.102053074	0.35096452	69.1812367956	41.8860703693	27.627467507	26.396198	2.48787048415259	2	28
13	56	894	L2	205.044899489	0.16207348	60.5956659078	38.7687930386	28.5238328427	18.317802	2.69318000022553	1	16
13	56	897	L1	213.88406412	0.10980113	76.3897192857	33.0602271745	28.6927342454	14.947981	4.74128366731256	4	20
13	56	903	L2	199.498620183	0.107902974	69.333293872	54.2747477151	29.4706704626	12.95521	2.10947650924417	1	12
13	56	911	L2	183.627191979	0.18830699	57.0787800257	41.6039112314	29.3533828244	22.826794	2.18161747325361	1	16
13	56	912	L2	167.044165676	0.43204993	66.000953859	45.9855843514	29.6176692594	92.37962	1.41877830802895	1	12
13	56	923	L1	191.015254602	0.11603098	71.3606714064	34.3030930332	30.425682379	13.63659	3.99540912732531	3	20
13	56	924	L2	246.903611236	0.46772557	63.46723156	57.8308266819	30.5857248512	64.172	2.15831580145739	2	28
13	56	925	L2	293.269110947	0.07874922	46.8435309588	59.1696432035	30.4415425333	8.603763	4.32126860772042	2	36
13	56	926	L2	167.672046352	0.29241365	54.344470609	59.7168043507	30.6167370604	51.041546	3.1059385355238	2	28
13	56	930	L1	135.524555731	0.12902607	78.4845695185	38.3249929708	29.7693818142	26.755098	4.55064864709885	3	0
13	56	931	L2	197.056861998	0.8105621	62.609936949	48.6119950768	30.6749708996	65.112114	0.651435800989074	1	12
13	56	937	L2	234.778537733	0.42416528	53.625469159	47.9381606943	30.9185660351	55.194397	1.99128906497072	1	56
13	56	940	L2	173.525289544	0.31533755	50.386486637	51.760117725	30.9889236208	56.2358375	2.66644802503632	2	20
13	56	942	L2	248.947711659	0.5390768	58.4242389111	55.0894611573	31.0724074215	80.53772	1.62838861207245	1	28
13	56	947	L1	252.931265727	0.28603777	76.3332529805	44.9790914081	31.8723238512	37.429672	3.12685535381721	2	28
13	56	950	L1	144.021874215	0.12167679	74.8367482293	39.0082248093	31.4572236714	29.19759	3.56366931842669	3	0
13	56	951	L1	139.466251087	0.14367595	79.519556754	49.5560599129	31.3816612359	35.803356	4.09745864320251	3	0
13	56	954	L1	223.46970911	0.3377261	68.3157886487	37.8888093227	32.6239607862	71.64183	2.80925204113752	2	36
13	56	955	L1	114.162659836	0.20320024	55.2167091737	31.6045653882	31.5262837195	28.300127	3.88128648575782	2	0
13	56	964	L1	229.155517455	0.10658886	77.5514549814	56.9299645334	32.9875585572	9.404018	3.77063035460073	2	48
13	56	967	L1	204.514689141	0.20845667	62.8881678388	36.6292764878	33.167185022	43.70717	2.89410212039143	2	4
13	56	971	L1	233.453011861	0.2139078	54.3802386013	37.2828487372	33.2076405209	27.281694	3.1403879096001	2	24
13	56	972	L1	134.575758264	0.29786476	71.288532969	42.4383361539	33.4474108955	102.96383	2.71311820938743	2	36
13	56	973	L1	155.435349618	0.11768579	66.6486690526	70.2188019745	32.8820482763	28.53948	4.83372151251861	3	0
13	56	976	L1	233.194883139	0.08069605	38.385614198	57.4054720404	33.6348706991	9.770119	5.5836976083819	3	28
13	56	977	L1	95.8424969952	0.11710174	76.2158009766	50.4104803725	33.2404617738	39.957302	3.17153767611968	2	0
13	56	979	L1	112.027865537	0.109460436	70.789642292	68.6567756645	32.6862405482	30.33294	4.61149262831397	3	0
13	56	982	L1	209.133100337	0.19950126	68.3612306707	63.1638147724	34.2878379542	33.470684	3.41755168764186	2	8
13	56	986	L1	167.504611505	0.30102837	71.0574194801	48.0922036748	34.1128047778	116.40536	2.11423903574623	1	4
13	56	987	L1	113.234791726	0.16455568	59.8143399523	39.1913569359	34.3703938186	49.76127	2.24741883188427	1	4
13	56	988	L1	168.760372857	0.1771614	43.8497150705	47.7605503002	34.2486967054	41.938457	3.87433546872313	3	4
13	56	990	L1	258.7147444	0.5496384	64.7059543314	43.9776980582	34.7295017571	142.04614	1.38175097309733	1	32
13	56	992	L1	124.969183919	0.13622932	47.3638996978	45.472271357	34.1513806659	38.08168	3.15893809948959	2	4
13	56	993	L1	133.41766724	0.13681337	64.6352594686	65.5224504454	34.323102734	35.69599	3.61996764337559	3	8
13	56	995	L1	265.726078618	0.50082165	72.3889348369	56.5168325306	34.2296435218	120.6253	2.85561036478808	1	24
13	56	997	L1	160.318865988	0.29976293	67.8628963497	50.203231277	35.1451787161	114.82723	1.32164886738712	0	4
13	56	998	L1	170.26728648	0.38333055	67.7632182844	56.1682795281	35.1875215863	125.39335	1.97230524913105	1	24
13	60	259	L3+	109.495413476	0.060351685	65.8847255495	52.6925345937	6.93415394472	10.749943	3.24161426546709	3	4
13	60	309	L3+	274.28618517	0.515082164	47.543127655	51.9164547153	8.82908468968	16.6577326666667	3.33922022429352	3	4
13	60	338	L3+	353.671231997	0.6376837	55.0116397994	54.2714470532	10.1643605497	51.29716	2.29770195492595	3	4
13	60	463	L3+	279.895252544	0.127857966	64.9224762697	48.1345724891	13.619167248	6.8523535	2.5936564712188	3	4
13	60	473	L3+	180.348259559	0.13574262	68.7908700434	53.1488714527	13.8544634738	18.559841	2.90928096639397	3	4
13	60	478	L3+	181.631926719	0.16012666	72.9674246755	53.142964117	12.9043306766	18.657833	3.62318072807732	4	4
13	60	488	L3+	219.465225686	0.57801338	58.4501335186	47.893743635	14.4656922368	38.239774	1.80859431806709	2	60
13	60	501	L3+	207.940127052	0.21658468	56.5978019392	62.6104110135	14.8778657417	26.00085	2.54871758022711	2	4
13	60	514	L3+	195.382513528	0.06453737	52.1026904662	49.5413304664	15.0601019311	7.3687396	2.37932568033978	2	4
13	60	516	L3+	151.472724906	0.23503087	59.3703218012	59.0593135663	15.3426015601	17.865639	1.97081122284863	2	4
13	60	537	L3+	146.847337258	0.10084572	52.3334755504	45.5809316124	15.5708775503	10.974319	2.70393017365641	2	4
13	60	539	L3+	319.326159009	0.6257107	64.4544894286	57.0303579444	15.7992368617	62.32422	2.1408351912738	2	44
13	60	545	L3+	110.25584674	0.08600115	47.0283565019	53.150567723	15.9236914719	21.611021	2.96150795387386	2	4
13	60	550	L3+	177.480937804	0.28058666	50.0891828963	55.823310465	16.1075264445	35.891087	2.33246775622411	2	0
13	60	556	L3+	102.811972501	0.22364193	53.4759533688	58.2120110565	16.4929215342	46.174244	1.94757358001081	2	0
13	60	559	L2	293.366781274	0.21974828	73.2331407664	45.2672766912	16.4524350417	11.464424	4.04087937051928	3	32
